,book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre,num_likes,rating_num_like,weighted_review_score
0,2657,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird (Paperback),Harper Lee,4.27,"5,025,333",1960,24464,fiction,18426,82260.0,4.464343861934223
1,40961427-1984,https://www.goodreads.com/book/show/40961427-1984,1984 (Kindle Edition),George Orwell,4.19,"3,609,831",1949,24368,fiction,19290,83313.0,4.318973561430793
2,4671,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby (Paperback),F. Scott Fitzgerald,3.93,"4,217,051",1925,22232,fiction,14276,54753.0,3.8353180162510507
3,170448,https://www.goodreads.com/book/show/170448.Animal_Farm,Animal Farm (Mass Market Paperback),George Orwell,3.97,"3,105,131",1945,20400,fiction,17489,79191.0,4.528046200468866
4,3,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,"8,031,019",1997,20064,fiction,31403,108057.0,3.440976976721969
5,5107,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye (Paperback),J.D. Salinger,3.81,"2,996,341",1951,19020,fiction,30108,104161.0,3.4595788494752227
6,2767052-the-hunger-games,https://www.goodreads.com/book/show/2767052-the-hunger-games,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,"7,056,494",2008,18427,fiction,20543,87005.0,4.235262619870515
7,968,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,"2,095,432",2003,17891,fiction,8623,24852.0,2.8820596080250493
8,38447,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,"1,659,751",1985,17614,fiction,18382,64694.0,3.5194211728865192
9,77203,https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner (Paperback),Khaled Hosseini,4.32,"2,665,159",2003,16900,fiction,15794,62165.0,3.9359883500063315
10,18144590-the-alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist,The Alchemist (Paperback),Paulo Coelho,3.89,"2,401,212",1988,16493,fiction,19237,40819.0,2.1219005042366272
11,1885,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Pride and Prejudice (Paperback),Jane Austen,4.27,"3,407,109",1813,16419,fiction,24739,110006.0,4.4466631634261695
12,7624,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies (Paperback),William Golding,3.69,"2,485,000",1954,16387,fiction,11604,40633.0,3.5016373664253706
13,15881,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,"3,099,289",1998,16332,fiction,14321,63310.0,4.4207806717408005
14,5,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,"3,236,428",1999,16033,fiction,22970,101328.0,4.411319111885067
15,5907,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.28,"3,219,218",1937,15738,fiction,10033,44152.0,4.400677763380843
16,6,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,"2,915,569",2000,15273,fiction,15247,70106.0,4.5980192824818
17,13079982-fahrenheit-451,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.98,"1,919,413",1953,15078,fiction,24871,103489.0,4.161030919544851
18,1,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,"2,721,637",2005,14786,fiction,14734,66212.0,4.493823808877426
19,136251,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.61,"3,119,213",2007,14753,fiction,14273,64456.0,4.515939185875429
20,2,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,"2,807,986",2003,14638,fiction,20053,84001.0,4.18894928439635
21,5129,https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World (Paperback),Aldous Huxley,3.99,"1,589,792",1932,14576,fiction,12784,45769.0,3.5801783479349187
22,19063,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief (Hardcover),Markus Zusak,4.38,"2,072,076",2005,14305,fiction,27467,110729.0,4.03134670695744
23,6148028-catching-fire,https://www.goodreads.com/book/show/6148028-catching-fire,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,"2,840,060",2009,14082,fiction,12904,55950.0,4.3358648481091135
24,2429135,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,"2,837,471",2005,14027,fiction,12219,46333.0,3.7918814960307716
25,4214,https://www.goodreads.com/book/show/4214.Life_of_Pi,Life of Pi (Paperback),Yann Martel,3.92,"1,443,833",2001,13951,fiction,10678,43328.0,4.057688705750141
26,890,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,Of Mice and Men (Paperback),John Steinbeck,3.88,"2,130,133",1937,13899,fiction,12872,53209.0,4.133701056556868
27,1618,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time (Paperback),Mark Haddon,3.89,"1,307,319",2003,13272,fiction,9731,37446.0,3.848114273969787
28,7260188-mockingjay,https://www.goodreads.com/book/show/7260188-mockingjay,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.05,"2,623,066",2010,13231,fiction,18272,59963.0,3.2816878283712785
29,4981,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,4.08,"1,218,042",1969,13136,fiction,8684,39068.0,4.498848456932289
30,4667024-the-help,https://www.goodreads.com/book/show/4667024-the-help,The Help (Hardcover),Kathryn Stockett,4.46,"2,364,509",2009,12903,fiction,8980,28628.0,3.1879732739420934
