book_title,author_name,ratings,num_of_ratings,date_published
Veronika Decides to Die (Paperback),Paulo Coelho,3.71,"194,592",1998
Fingersmith (ebook),Sarah Waters,3.98,"99,261",2002
Housekeeping (Paperback),Marilynne Robinson,3.80,"49,365",1980
"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,3.94,"139,000",2008
Post Office (Kindle Edition),Charles Bukowski,3.95,"120,746",1971
Cat's Eye (Paperback),Margaret Atwood,3.92,"64,991",1988
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.18,"785,536",2015
The House of Mirth (Paperback),Edith Wharton,3.95,"90,827",1905
Inferno (Paperback),Dante Alighieri,4.00,"157,170",1320
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,4.23,"355,584",2015
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.81,"660,295",2001
The Wasp Factory (Paperback),Iain Banks,3.80,"97,799",1984
The Luminaries (Hardcover),Eleanor Catton,3.72,"81,289",2013
The Red Badge of Courage (Paperback),Stephen Crane,3.29,"100,276",1895
Project Hail Mary (Hardcover),Andy Weir,4.54,"147,354",2021
I Am the Messenger (Paperback),Markus Zusak,4.01,"154,613",2002
This is Where I Leave You (Hardcover),Jonathan Tropper,3.87,"140,427",2003
Chronicle of a Death Foretold (Paperback),Gabriel García Márquez,3.97,"148,401",1981
A Passage to India (Paperback),E.M. Forster,3.68,"75,595",1924
The Giver of Stars (Hardcover),Jojo Moyes,4.27,"296,445",2019
Tuck Everlasting (Paperback),Natalie Babbitt,3.88,"257,331",1975
Flight Behavior (Hardcover),Barbara Kingsolver,3.78,"88,775",2012
"Mort (Discworld, #4; Death, #1)",Terry Pratchett,4.20,"219,537",1987
"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,3.94,"104,714",1982
"Chocolat (Chocolat, #1)",Joanne Harris,3.95,"120,307",1999
The Signature of All Things (Hardcover),Elizabeth Gilbert,3.84,"106,176",2013
Tuesdays with Morrie (Paperback),Mitch Albom,4.12,"858,456",1997
The Little Paris Bookshop (Hardcover),Nina George,3.51,"90,513",2013
Black Beauty (Mass Market Paperback),Anna Sewell,3.97,"256,737",1877
Nothing to See Here (ebook),Kevin    Wilson,3.94,"117,521",2019
Year of Wonders (Paperback),Geraldine Brooks,3.98,"153,683",2001
Defending Jacob (Hardcover),William Landay,3.98,"286,811",2012
The Outsider (Hardcover),Stephen King,3.98,"231,971",2018
"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,3.95,"122,186",1992
The Witches (Paperback),Roald Dahl,4.15,"354,560",1983
"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,4.12,"244,690",1993
"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,3.96,"136,726",1987
This Is How You Lose Her (Hardcover),Junot Díaz,3.74,"95,457",2010
North and South (Paperback),Elizabeth Gaskell,4.13,"156,459",1854
"The Selection (The Selection, #1)",Kiera Cass,4.11,"1,137,950",2012
"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,3.93,"144,443",2017
The Story of Edgar Sawtelle (Hardcover),David Wroblewski,3.62,"99,899",2008
Geek Love (Paperback),Katherine Dunn,3.95,"69,316",1989
Tenth of December (Hardcover),George Saunders,3.95,"67,649",2013
Brooklyn (Hardcover),Colm Tóibín,3.68,"104,263",2009
Queenie (Hardcover),Candice Carty-Williams,3.88,"106,054",2019
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,"765,492",2012
Flatland: A Romance of Many Dimensions (Paperback),Edwin A. Abbott,3.81,"65,140",1884
The Fall (Paperback),Albert Camus,4.01,"84,441",1956
"Red Queen (Red Queen, #1)",Victoria Aveyard,4.03,"724,955",2015
The World According to Garp (Hardcover),John Irving,4.09,"212,849",1978
High Fidelity (Paperback),Nick Hornby,3.92,"184,153",1995
Matilda (Paperback),Roald Dahl,4.32,"754,397",1988
House of Leaves (Paperback),Mark Z. Danielewski,4.05,"151,105",2000
The Sound and the Fury (Paperback),William Faulkner,3.86,"165,828",1929
Still Alice (Paperback),Lisa Genova,4.30,"316,998",2007
The House of the Spirits (Paperback),Isabel Allende,4.25,"213,701",1982
We Have Always Lived in the Castle (Paperback),Shirley Jackson,3.97,"146,447",1962
"Blood Meridian, or the Evening Redness in the West (Paperback)",Cormac McCarthy,4.16,"120,595",1985
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.03,"1,221,987",2009
"Olive Kitteridge (Olive Kitteridge, #1)",Elizabeth Strout,3.83,"201,038",2008
The Sense of an Ending (Hardcover),Julian Barnes,3.73,"165,235",2011
There There (Hardcover),Tommy Orange,3.98,"141,734",2018
Ulysses (Paperback),James Joyce,3.73,"118,714",1922
No Country for Old Men (Paperback),Cormac McCarthy,4.09,"177,610",2005
The Things They Carried (Paperback),Tim O'Brien,4.13,"275,401",1990
The Power (Hardcover),Naomi Alderman,3.79,"186,682",2016
The Circle (Hardcover),Dave Eggers,3.44,"195,344",2013
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.08,"427,893",1952
The Corrections (Paperback),Jonathan Franzen,3.80,"168,508",2001
The Elegance of the Hedgehog (Paperback),Muriel Barbery,3.78,"164,978",2006
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.08,"755,739",1989
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,"307,804",1954
The Pearl (Paperback),John Steinbeck,3.50,"202,206",1947
