book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
2429135,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,"2,840,117",2005,4241,crime
5060378-the-girl-who-played-with-fire,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,"863,312",2006,2919,crime
19288043-gone-girl,https://www.goodreads.com/book/show/19288043-gone-girl,Gone Girl (Paperback),Gillian Flynn,4.09,"2,586,588",2012,2893,crime
16299,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,And Then There Were None (Paperback),Agatha Christie,4.27,"998,814",1939,2835,crime
22557272-the-girl-on-the-train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,The Girl on the Train (Hardcover),Paula Hawkins,3.94,"2,401,006",2015,2528,crime
6892870-the-girl-who-kicked-the-hornet-s-nest,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.22,"691,706",2007,2515,crime
853510,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.18,"461,433",1934,2362,crime
16160797-the-cuckoo-s-calling,https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.87,"526,770",2013,2300,crime
168642,https://www.goodreads.com/book/show/168642.In_Cold_Blood,In Cold Blood (Paperback),Truman Capote,4.06,"589,155",1965,2262,crime
18045891-sharp-objects,https://www.goodreads.com/book/show/18045891-sharp-objects,Sharp Objects (Paperback),Gillian Flynn,3.99,"803,103",2006,1747,crime
102868,https://www.goodreads.com/book/show/102868.A_Study_in_Scarlet,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.14,"373,092",1887,1682,crime
2459785,https://www.goodreads.com/book/show/2459785.In_the_Woods,"In the Woods (Dublin Murder Squad, #1)",Tana French,3.77,"354,795",2007,1582,crime
5886881-dark-places,https://www.goodreads.com/book/show/5886881-dark-places,Dark Places (Hardcover),Gillian Flynn,3.93,"651,602",2009,1572,crime
18214414-the-silkworm,https://www.goodreads.com/book/show/18214414-the-silkworm,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,4.04,"239,702",2014,1505,crime
22034,https://www.goodreads.com/book/show/22034.The_Godfather,"The Godfather (The Godfather, #1)",Mario Puzo,4.36,"370,991",1969,1501,crime
23807,https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.21,"512,785",1988,1424,crime
28877,https://www.goodreads.com/book/show/28877.Red_Dragon,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.03,"306,801",1981,1358,crime
16328,https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.24,"193,391",1926,1357,crime
52843028-the-mysterious-affair-at-styles,https://www.goodreads.com/book/show/52843028-the-mysterious-affair-at-styles,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,3.98,"313,091",1920,1354,crime
8921,https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,"290,828",1901,1317,crime
968,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,"2,097,583",2003,1275,crime
35068432-i-ll-be-gone-in-the-dark,https://www.goodreads.com/book/show/35068432-i-ll-be-gone-in-the-dark,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer (ebook),Michelle McNamara,4.10,"200,560",2018,1266,crime
40611999-career-of-evil,https://www.goodreads.com/book/show/40611999-career-of-evil,"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,4.19,"186,105",2015,1213,crime
131359,https://www.goodreads.com/book/show/131359.Death_on_the_Nile,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.11,"167,821",1937,1213,crime
2052,https://www.goodreads.com/book/show/2052.The_Big_Sleep,The Big Sleep (Paperback),Raymond Chandler,3.95,"145,852",1939,1186,crime
397483,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America (Hardcover)",Erik Larson,3.98,"590,682",2003,1185,crime
960,https://www.goodreads.com/book/show/960.Angels_Demons,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,"2,885,913",2000,1155,crime
9572203-the-snowman,https://www.goodreads.com/book/show/9572203-the-snowman,"The Snowman (Harry Hole, #7)",Jo Nesbø,4.01,"126,530",2007,1151,crime
3590,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.29,"269,279",1892,1130,crime
