book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
2657,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird (Paperback),Harper Lee,4.27,"5,025,333",1960,24464,fiction
40961427-1984,https://www.goodreads.com/book/show/40961427-1984,1984 (Kindle Edition),George Orwell,4.19,"3,609,831",1949,24368,fiction
4671,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby (Paperback),F. Scott Fitzgerald,3.93,"4,217,051",1925,22232,fiction
170448,https://www.goodreads.com/book/show/170448.Animal_Farm,Animal Farm (Mass Market Paperback),George Orwell,3.97,"3,105,131",1945,20400,fiction
3,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,"8,031,019",1997,20064,fiction
5107,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye (Paperback),J.D. Salinger,3.81,"2,996,341",1951,19020,fiction
2767052-the-hunger-games,https://www.goodreads.com/book/show/2767052-the-hunger-games,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,"7,056,494",2008,18427,fiction
968,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,"2,095,432",2003,17891,fiction
38447,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,"1,659,751",1985,17614,fiction
77203,https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner (Paperback),Khaled Hosseini,4.32,"2,665,159",2003,16900,fiction
18144590-the-alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist,The Alchemist (Paperback),Paulo Coelho,3.89,"2,401,212",1988,16493,fiction
1885,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Pride and Prejudice (Paperback),Jane Austen,4.27,"3,407,109",1813,16419,fiction
7624,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies (Paperback),William Golding,3.69,"2,485,000",1954,16387,fiction
15881,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,"3,099,289",1998,16332,fiction
5,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,"3,236,428",1999,16033,fiction
5907,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.28,"3,219,218",1937,15738,fiction
6,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,"2,915,569",2000,15273,fiction
13079982-fahrenheit-451,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.98,"1,919,413",1953,15078,fiction
1,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,"2,721,637",2005,14786,fiction
136251,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.61,"3,119,213",2007,14753,fiction
2,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,"2,807,986",2003,14638,fiction
5129,https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World (Paperback),Aldous Huxley,3.99,"1,589,792",1932,14576,fiction
19063,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief (Hardcover),Markus Zusak,4.38,"2,072,076",2005,14305,fiction
6148028-catching-fire,https://www.goodreads.com/book/show/6148028-catching-fire,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.30,"2,840,060",2009,14082,fiction
2429135,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,"2,837,471",2005,14027,fiction
4214,https://www.goodreads.com/book/show/4214.Life_of_Pi,Life of Pi (Paperback),Yann Martel,3.92,"1,443,833",2001,13951,fiction
890,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,Of Mice and Men (Paperback),John Steinbeck,3.88,"2,130,133",1937,13899,fiction
1618,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time (Paperback),Mark Haddon,3.89,"1,307,319",2003,13272,fiction
7260188-mockingjay,https://www.goodreads.com/book/show/7260188-mockingjay,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.05,"2,623,066",2010,13231,fiction
4981,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,4.08,"1,218,042",1969,13136,fiction
4667024-the-help,https://www.goodreads.com/book/show/4667024-the-help,The Help (Hardcover),Kathryn Stockett,4.46,"2,364,509",2009,12903,fiction
19288043-gone-girl,https://www.goodreads.com/book/show/19288043-gone-girl,Gone Girl (Paperback),Gillian Flynn,4.09,"2,583,591",2012,12757,fiction
960,https://www.goodreads.com/book/show/960.Angels_Demons,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,"2,883,214",2000,12512,fiction
10210,https://www.goodreads.com/book/show/10210.Jane_Eyre,Jane Eyre (Paperback),Charlotte Brontë,4.13,"1,785,714",1847,11941,fiction
11870085-the-fault-in-our-stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars (Hardcover),John Green,4.18,"4,066,157",2012,11548,fiction
18143977-all-the-light-we-cannot-see,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,All the Light We Cannot See (Hardcover),Anthony Doerr,4.32,"1,211,340",2014,11341,fiction
386162,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,"1,589,792",1979,11267,fiction
5297,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray (Paperback),Oscar Wilde,4.10,"1,122,712",1890,11099,fiction
320,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude (Mass Market Paperback),Gabriel García Márquez,4.09,"826,957",1967,11046,fiction
13496,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"2,171,040",1996,10932,fiction
6288,https://www.goodreads.com/book/show/6288.The_Road,The Road (Hardcover),Cormac McCarthy,3.97,"783,373",2006,10857,fiction
929,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,4.13,"1,822,228",1997,10827,fiction
35031085-frankenstein,https://www.goodreads.com/book/show/35031085-frankenstein,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,3.83,"1,292,962",1818,10810,fiction
22557272-the-girl-on-the-train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,The Girl on the Train (Hardcover),Paula Hawkins,3.94,"2,397,514",2015,10792,fiction
3263607-the-fellowship-of-the-ring,https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,"2,522,517",1954,10777,fiction
168668,https://www.goodreads.com/book/show/168668.Catch_22,Catch-22 (Paperback),Joseph Heller,3.98,"767,732",1961,10634,fiction
12232938-the-lovely-bones,https://www.goodreads.com/book/show/12232938-the-lovely-bones,The Lovely Bones (Mass Market Paperback),Alice Sebold,3.83,"2,148,798",2002,10626,fiction
18619684-the-time-traveler-s-wife,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife (ebook),Audrey Niffenegger,3.98,"1,662,247",2003,10571,fiction
43641,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Water for Elephants (Paperback),Sara Gruen,4.09,"1,471,651",2006,10287,fiction
6185,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Wuthering Heights (Paperback),Emily Brontë,3.87,"1,491,034",1847,10256,fiction
128029,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns (Hardcover),Khaled Hosseini,4.39,"1,276,278",2007,10205,fiction
3636,https://www.goodreads.com/book/show/3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,4.13,"2,010,928",1993,10134,fiction
2956,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn (Paperback),Mark Twain,3.82,"1,200,142",1884,10045,fiction
2165,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea (Hardcover),Ernest Hemingway,3.79,"933,329",1952,10028,fiction
36809135-where-the-crawdads-sing,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,Where the Crawdads Sing (ebook),Delia Owens,4.46,"1,465,315",2018,9959,fiction
49552,https://www.goodreads.com/book/show/49552.The_Stranger,The Stranger (Paperback),Albert Camus,3.99,"812,587",1942,9850,fiction
30165203-american-gods,https://www.goodreads.com/book/show/30165203-american-gods,"American Gods (American Gods, #1)",Neil Gaiman,4.10,"827,574",2001,9777,fiction
51704136-little-fires-everywhere,https://www.goodreads.com/book/show/51704136-little-fires-everywhere,Little Fires Everywhere (Paperback),Celeste Ng,4.09,"901,059",2017,9549,fiction
18007564-the-martian,https://www.goodreads.com/book/show/18007564-the-martian,The Martian (Hardcover),Andy Weir,4.40,"925,053",2011,9541,fiction
7144,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,Crime and Punishment (Paperback),Fyodor Dostoevsky,4.23,"714,574",1866,9527,fiction
7604,https://www.goodreads.com/book/show/7604.Lolita,Lolita (Paperback),Vladimir Nabokov,3.88,"723,713",1955,9345,fiction
1934,https://www.goodreads.com/book/show/1934.Little_Women,Little Women (Paperback),Louisa May Alcott,4.11,"1,854,461",1869,9295,fiction
17333223-the-goldfinch,https://www.goodreads.com/book/show/17333223-the-goldfinch,The Goldfinch (Hardcover),Donna Tartt,3.92,"797,984",2013,9255,fiction
18774964-a-man-called-ove,https://www.goodreads.com/book/show/18774964-a-man-called-ove,A Man Called Ove (Hardcover),Fredrik Backman,4.35,"702,908",2012,9009,fiction
157993,https://www.goodreads.com/book/show/157993.The_Little_Prince,The Little Prince (Paperback),Antoine de Saint-Exupéry,4.31,"1,615,886",1943,9005,fiction
31434883-eleanor-oliphant-is-completely-fine,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,Eleanor Oliphant Is Completely Fine (Hardcover),Gail Honeyman,4.26,"908,529",2017,8960,fiction
44767458-dune,https://www.goodreads.com/book/show/44767458-dune,"Dune (Dune, #1)",Frank Herbert,4.24,"967,875",1965,8895,fiction
6334,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,Never Let Me Go (Paperback),Kazuo Ishiguro,3.83,"549,716",2005,8751,fiction
9969571-ready-player-one,https://www.goodreads.com/book/show/9969571-ready-player-one,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.24,"988,219",2011,8686,fiction
18114322-the-grapes-of-wrath,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,The Grapes of Wrath (Hardcover),John Steinbeck,3.98,"807,578",1939,8428,fiction
6514,https://www.goodreads.com/book/show/6514.The_Bell_Jar,The Bell Jar (Paperback),Sylvia Plath,4.02,"681,499",1963,8423,fiction
37435,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,The Secret Life of Bees (Paperback),Sue Monk Kidd,4.07,"1,183,192",2001,8387,fiction
22628,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower (Paperback),Stephen Chbosky,4.21,"1,419,071",1999,8356,fiction
41865,https://www.goodreads.com/book/show/41865.Twilight,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,"5,491,278",2005,8314,fiction
5060378-the-girl-who-played-with-fire,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,"862,809",2006,8226,fiction
52578297-the-midnight-library,https://www.goodreads.com/book/show/52578297-the-midnight-library,The Midnight Library (Hardcover),Matt Haig,4.09,"670,753",2020,8168,fiction
100915,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22,"2,355,322",1950,8118,fiction
9361589-the-night-circus,https://www.goodreads.com/book/show/9361589-the-night-circus,The Night Circus (Hardcover),Erin Morgenstern,4.03,"790,873",2011,8021,fiction
7126,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,The Count of Monte Cristo (Paperback),Alexandre Dumas,4.26,"806,106",1844,7941,fiction
15823480-anna-karenina,https://www.goodreads.com/book/show/15823480-anna-karenina,Anna Karenina (Paperback),Leo Tolstoy,4.06,"730,254",1877,7932,fiction
332613,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest (Mass Market Paperback),Ken Kesey,4.19,"674,942",1962,7797,fiction
17245,https://www.goodreads.com/book/show/17245.Dracula,Dracula (Paperback),Bram Stoker,4.00,"1,048,918",1897,7777,fiction
1953,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities (Paperback),Charles Dickens,3.86,"861,044",1859,7768,fiction
2187,https://www.goodreads.com/book/show/2187.Middlesex,Middlesex (Paperback),Jeffrey Eugenides,4.01,"608,493",2002,7716,fiction
222910,https://www.goodreads.com/book/show/222910.The_Two_Towers,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.45,"795,943",1954,7694,fiction
31685789-room,https://www.goodreads.com/book/show/31685789-room,Room (Kindle Edition),Emma Donoghue,4.06,"768,585",2010,7672,fiction
13335037-divergent,https://www.goodreads.com/book/show/13335037-divergent,"Divergent (Divergent, #1)",Veronica Roth,4.17,"3,275,801",2011,7536,fiction
7244,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,The Poisonwood Bible (Hardcover),Barbara Kingsolver,4.07,"689,270",1998,7515,fiction
36236124-fight-club,https://www.goodreads.com/book/show/36236124-fight-club,Fight Club (Paperback),Chuck Palahniuk,4.18,"538,041",1996,7486,fiction
485894,https://www.goodreads.com/book/show/485894.The_Metamorphosis,The Metamorphosis (Paperback),Franz Kafka,3.83,"749,704",1915,7475,fiction
2623,https://www.goodreads.com/book/show/2623.Great_Expectations,Great Expectations (Paperback),Charles Dickens,3.78,"706,315",1860,7472,fiction
838729,https://www.goodreads.com/book/show/838729.The_Return_of_the_King,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.54,"745,140",1955,7354,fiction
12296,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter,The Scarlet Letter (Paperback),Nathaniel Hawthorne,3.42,"760,457",1850,7344,fiction
41817486-a-clockwork-orange,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,A Clockwork Orange (Paperback),Anthony Burgess,3.99,"654,195",1962,7289,fiction
