book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
14743,https://www.goodreads.com/book/show/14743.The_God_Delusion,The God Delusion (Hardcover),Richard Dawkins,3.89,"254,425",2006,2898,religion
40792344-mere-christianity,https://www.goodreads.com/book/show/40792344-mere-christianity,Mere Christianity (Kindle Edition),C.S. Lewis,4.32,"339,458",1942,2362,religion
43369,https://www.goodreads.com/book/show/43369.God_Is_Not_Great,God Is Not Great: How Religion Poisons Everything (Hardcover),Christopher Hitchens,3.93,"101,991",2007,2066,religion
8130077-the-screwtape-letters,https://www.goodreads.com/book/show/8130077-the-screwtape-letters,The Screwtape Letters (Kindle Edition),C.S. Lewis,4.23,"370,181",1942,1941,religion
3873,https://www.goodreads.com/book/show/3873.A_History_of_God,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam (Hardcover)",Karen Armstrong,3.87,"47,233",1993,1611,religion
1923820,https://www.goodreads.com/book/show/1923820.The_Holy_Bible,The Holy Bible: King James Version (Hardcover),Anonymous,4.40,"243,487",1611,1540,religion
646462,https://www.goodreads.com/book/show/646462._,القرآن الكريم (Hardcover),Anonymous,4.36,"61,316",632,1429,religion
17568801-zealot,https://www.goodreads.com/book/show/17568801-zealot,Zealot: The Life and Times of Jesus of Nazareth (Hardcover),Reza Aslan,3.82,"68,929",2013,1427,religion
10847,https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven,Under the Banner of Heaven: A Story of Violent Faith (Paperback),Jon Krakauer,3.98,"174,317",2003,1375,religion
52036,https://www.goodreads.com/book/show/52036.Siddhartha,Siddhartha (Mass Market Paperback),Hermann Hesse,4.04,"648,192",1922,1319,religion
67896,https://www.goodreads.com/book/show/67896.Tao_Te_Ching,Tao Te Ching (Paperback),Lao Tzu,4.26,"136,544",-600,1226,religion
99944,https://www.goodreads.com/book/show/99944.The_Bhagavad_Gita,The Bhagavad Gita (Paperback),Krishna-Dwaipayana Vyasa,4.14,"60,444",-400,1217,religion
27037,https://www.goodreads.com/book/show/27037.Confessions,Confessions (Paperback),Augustine of Hippo,3.89,"57,669",400,1154,religion
51364,https://www.goodreads.com/book/show/51364.Misquoting_Jesus,Misquoting Jesus: The Story Behind Who Changed the Bible and Why (Paperback),Bart D. Ehrman,3.87,"17,150",2005,1066,religion
51299,https://www.goodreads.com/book/show/51299.Letter_to_a_Christian_Nation,Letter to a Christian Nation (Hardcover),Sam Harris,3.99,"39,014",2006,1052,religion
29501,https://www.goodreads.com/book/show/29501.The_End_of_Faith,"The End of Faith: Religion, Terror, and the Future of Reason (Paperback)",Sam Harris,3.84,"44,394",2004,989,religion
323355,https://www.goodreads.com/book/show/323355.The_Book_of_Mormon,The Book of Mormon: Another Testament of Jesus Christ (Paperback),Anonymous,4.29,"79,605",1830,977,religion
40411388-no-god-but-god,https://www.goodreads.com/book/show/40411388-no-god-but-god,"No God but God: The Origins, Evolution and Future of Islam (Kindle Edition)",Reza Aslan,4.09,"25,697",2005,897,religion
25845273-the-great-divorce,https://www.goodreads.com/book/show/25845273-the-great-divorce,The Great Divorce (Paperback),C.S. Lewis,4.28,"122,084",1945,887,religion
40874325-the-shack,https://www.goodreads.com/book/show/40874325-the-shack,The Shack (Kindle Edition),William Paul Young,3.79,"582,870",2007,805,religion
16142053-going-clear,https://www.goodreads.com/book/show/16142053-going-clear,"Going Clear: Scientology, Hollywood, and the Prison of Belief (Hardcover)",Lawrence Wright,4.02,"41,933",2013,796,religion
495395,https://www.goodreads.com/book/show/495395.The_Year_of_Living_Biblically,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible (Hardcover),A.J. Jacobs,3.74,"69,744",2007,796,religion
968,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,"2,097,583",2003,749,religion
28820,https://www.goodreads.com/book/show/28820.The_Varieties_of_Religious_Experience,The Varieties of Religious Experience (Paperback),William  James,3.95,"12,312",1901,687,religion
